customer_id,call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,customer_value,churn,is_dormant,churn_probability,predicted_churn,risk_score
CUST-02779,15,0,29,2,2583,56,45,70,5,1,1,107.085,0,0,0.00015827680716136945,0,0.016949071894875246
CUST-02687,11,0,13,3,3157,45,30,20,3,1,1,248.08,0,0,6.789044470203667e-05,0,0.016842261521681258
CUST-02102,10,0,36,1,6143,99,7,10,3,1,1,277.68,0,0,6.048831992641774e-05,0,0.016796396677167678
CUST-00291,5,0,32,0,1085,20,36,9,4,1,2,117.625,0,0,0.00014229093749555576,0,0.016736971522914746
CUST-00017,2,0,38,0,710,14,13,8,3,1,2,80.96,0,0,0.00020463583957764931,0,0.01656731757220649
CUST-02347,20,0,40,4,4680,98,60,45,3,1,1,431.12,0,0,3.837398772459282e-05,0,0.016543793587826455
CUST-02514,26,0,37,8,10625,93,7,40,4,1,1,285.45,0,0,5.761558132433637e-05,0,0.016446367689031814
CUST-02562,15,0,39,2,7213,82,124,42,2,1,1,886.275,0,0,1.854580379464227e-05,0,0.01643668225809658
CUST-01903,14,1,40,0,2543,60,15,19,3,1,2,164.12,0,0,9.924668941157961e-05,0,0.016288366666228446
CUST-02532,5,0,27,0,1015,10,7,2,4,1,2,43.125,0,0,0.00037023594866094804,0,0.015966425286003384
CUST-01986,10,0,22,2,2060,35,40,18,3,1,1,243.8,0,0,6.48209716157595e-05,0,0.015803352879922166
CUST-02743,21,0,41,2,5213,83,16,37,1,1,1,379.28,0,0,4.1660372391339225e-05,0,0.01580094604058714
CUST-02278,10,0,40,0,2150,58,56,27,3,1,2,312.32,0,0,5.039047100654143e-05,0,0.015737951904763018
CUST-00494,6,0,18,2,2295,36,49,29,2,1,1,325.395,0,0,4.791060560066998e-05,0,0.015589871509430007
CUST-00905,0,0,37,0,5208,84,0,12,2,1,1,238.14,0,0,6.54311844614253e-05,0,0.015581782267643821
CUST-02633,13,0,27,1,1340,37,17,12,2,1,1,138.465,0,0,0.00011238905717435806,0,0.01556195080164749
CUST-01689,0,0,7,0,3895,33,199,5,3,1,1,953.12,0,0,1.6241280226660225e-05,0,0.015479889009634394
CUST-02129,10,0,34,1,3005,57,172,21,2,1,1,911.79,0,0,1.6943386934376247e-05,0,0.015448810772894917
CUST-02329,9,0,35,1,2905,51,171,20,2,1,1,902.52,0,0,1.7058756532641124e-05,0,0.015395868945839266
CUST-02322,6,0,32,2,6910,95,10,19,5,1,1,120.075,0,0,0.0001279629971086496,0,0.015365156877821102
CUST-01859,0,0,31,0,1825,5,0,12,3,1,1,73.2,0,0,0.00020986546341984595,0,0.015362151922332725
CUST-02650,10,0,35,1,4820,83,1,26,3,1,1,200.12,0,0,7.664229104427213e-05,0,0.015337655283779738
CUST-00411,7,0,35,0,2058,46,0,12,3,1,2,84.16,0,0,0.0001784135512044676,0,0.015015284469367993
CUST-00200,7,0,34,0,4290,69,0,13,2,1,1,196.155,0,0,7.635824339739061e-05,0,0.014978051233615156
CUST-02502,14,1,39,0,2428,54,7,15,3,1,2,127.28,0,0,0.00011667679591776619,0,0.01485062258441328
CUST-01631,3,0,34,0,2665,48,177,24,2,1,1,918.585,0,0,1.586697918612796e-05,0,0.014575169075689353
CUST-00116,0,0,35,0,815,11,0,9,2,1,2,37.17,0,0,0.00038929079915087827,0,0.014469939004438145
CUST-00229,0,0,32,0,1588,23,0,2,3,1,1,64.44,0,0,0.0002244989241874599,0,0.014466710674639916
CUST-02222,5,0,29,1,6830,93,7,18,5,1,1,114.345,0,0,0.00012572202222007326,0,0.014375684630754277
CUST-00137,3,0,34,0,2720,50,170,21,2,1,1,889.65,0,0,1.6088086005946477e-05,0,0.014312765715190284
CUST-02452,14,1,41,0,2658,66,47,23,4,1,2,185.6,0,0,7.70637518269483e-05,0,0.014303032339081605
CUST-00244,1,0,14,0,1615,24,18,10,2,1,1,154.755,0,0,9.147295211937799e-05,0,0.01415589670523434
CUST-01701,2,0,31,0,1933,42,0,14,3,1,2,79.0,0,0,0.00017893990062813856,0,0.014136252149622946
CUST-01825,7,0,35,0,3185,58,176,21,2,1,1,937.935,0,0,1.4971625481436076e-05,0,0.014042411545930744
CUST-01610,0,0,35,0,760,9,2,12,2,1,2,43.605,0,0,0.00032073085131374246,0,0.013985468771535739
CUST-01485,0,0,34,0,1875,37,147,6,2,1,1,747.54,0,0,1.8446942169359907e-05,0,0.013789827149283304
CUST-01243,4,0,30,0,1523,43,38,72,4,1,1,134.15,0,0,0.00010259097581382707,0,0.013762579405424902
CUST-01817,2,0,35,0,2073,30,1,4,3,1,1,88.12,0,0,0.00015609077655598727,0,0.013754719230113599
CUST-02324,5,0,35,1,305,6,7,2,5,1,1,15.165,0,0,0.0009000653037131444,0,0.013649490330809835
CUST-02672,3,0,33,1,643,4,3,3,5,1,1,14.205,0,0,0.0009600656240252583,0,0.013637732189278794
CUST-01205,0,0,43,0,273,9,15,8,2,1,2,80.19,0,0,0.0001698789698821961,0,0.013622594594853306
CUST-00186,4,0,39,0,1745,46,48,24,3,1,2,263.64,0,0,5.086310764864933e-05,0,0.013409549700489909
CUST-01336,0,0,37,0,213,6,8,5,5,1,1,15.285,0,0,0.0008772505802782811,0,0.013408775119553528
CUST-02781,11,0,29,0,1840,27,36,5,4,1,2,136.675,0,0,9.739411077513446e-05,0,0.013311340090191503
CUST-02203,9,0,34,0,2283,50,7,13,3,1,2,121.32,0,0,0.0001088464442016201,0,0.01320525061054055
CUST-00517,0,0,38,0,110,4,0,1,2,1,2,5.13,0,0,0.0025603614207692755,0,0.013134654088546383
CUST-00300,3,0,32,0,4110,61,0,11,2,1,1,187.695,0,0,6.997822067733816e-05,0,0.013134562130032987
CUST-00216,0,0,33,0,795,12,0,7,2,1,2,36.315,0,0,0.00036158044306713655,0,0.013130793789983063
CUST-01677,0,0,33,0,1170,37,22,15,3,1,2,136.28,0,0,9.62808937077646e-05,0,0.01312116019449416
CUST-00403,8,0,35,0,4018,58,0,30,1,1,1,224.18,0,0,5.8266572809083376e-05,0,0.013062200292340311
CUST-01201,2,0,10,1,2468,37,14,13,3,1,1,156.2,0,0,8.348924450556202e-05,0,0.013041019991768788
CUST-01694,0,0,31,0,2088,46,0,30,1,1,1,117.37,0,0,0.00011100980090955586,0,0.013029220332754572
CUST-02777,17,0,39,2,3795,70,190,25,2,1,1,1028.925,0,0,1.2631634129082652e-05,0,0.012997004146266367
CUST-02483,15,0,28,2,1645,44,58,19,2,1,1,337.005,0,0,3.8357034421766577e-05,0,0.012926512385307445
CUST-00511,5,0,38,0,1638,44,0,2,3,1,2,67.28,0,0,0.00019168969994253843,0,0.012896883012133986
CUST-00090,14,0,29,1,760,28,15,9,3,1,1,91.52,0,0,0.00014057563084359675,0,0.012865481734805975
CUST-01549,5,0,34,0,2033,48,320,18,2,1,1,1533.645,0,0,8.36786717187444e-06,0,0.012833337648809374
CUST-01198,0,0,12,0,1310,18,11,8,2,1,1,109.26,0,0,0.00011734639850960419,0,0.012821267501159354
CUST-02807,1,0,39,0,305,9,0,10,3,1,2,12.56,0,0,0.0010188805914513998,0,0.012797140228629583
CUST-01247,2,0,29,0,3180,65,16,27,3,1,1,193.8,0,0,6.558394862701731e-05,0,0.012710169243915955
CUST-01642,0,0,7,0,4275,35,217,11,3,1,1,1040.4,0,0,1.207353993058504e-05,0,0.012561310943780676
CUST-01377,0,0,29,0,2355,8,0,7,3,1,1,94.52,0,0,0.00013285994991999082,0,0.012557922466437532
CUST-01735,1,0,9,1,2547,33,16,16,3,1,1,167.2,0,0,7.482738027138089e-05,0,0.012511137981374884
CUST-01290,0,0,27,0,1100,28,16,12,3,1,2,109.12,0,0,0.00011448500850985097,0,0.01249260412859494
CUST-01054,14,1,17,1,6148,138,83,42,1,2,1,802.23,0,0,1.5435961542801036e-05,0,0.012383191428481275
CUST-01929,11,0,38,1,3085,59,182,25,2,1,1,960.48,0,0,1.286380561757628e-05,0,0.012355428019569665
CUST-02629,7,0,29,2,1430,41,191,10,3,2,1,822.84,0,0,1.50073392027647e-05,0,0.012348638989602905
CUST-00832,5,0,40,0,1665,50,46,21,4,1,2,157.875,0,0,7.806986916584359e-05,0,0.012325280594557557
CUST-01671,0,0,34,0,1173,18,0,1,3,1,1,47.64,0,0,0.0002579312070708165,0,0.012287842704853696
CUST-01068,0,0,34,0,5553,86,0,8,2,1,1,253.755,0,0,4.820365185479489e-05,0,0.012231917676413477
CUST-02533,15,0,26,0,1415,32,7,11,2,1,1,96.615,0,0,0.00012650792075465114,0,0.012222562763710618
CUST-01034,0,0,34,0,2595,19,0,14,3,1,1,104.56,0,0,0.00011496261282429099,0,0.012020490796907866
CUST-02732,17,0,32,2,1530,44,34,16,2,1,1,223.83,0,0,5.311547170000076e-05,0,0.01188883603061117
CUST-02558,9,0,40,0,1205,21,29,13,3,1,2,165.04,0,0,7.164788370282614e-05,0,0.011824766726314426
CUST-02097,15,0,36,1,4000,86,29,26,3,1,1,279.44,0,0,4.2117511619935e-05,0,0.011769317447074636
CUST-00087,9,0,38,1,2840,56,180,25,2,1,1,940.32,0,0,1.2497271720139165e-05,0,0.011751434543881261
CUST-00610,9,0,37,0,2123,48,0,13,3,1,2,86.84,0,0,0.00013395808673102774,0,0.011632920251722448
CUST-02267,8,0,39,1,3325,36,18,21,3,1,1,206.44,0,0,5.6108252852238685e-05,0,0.011582987718816154
CUST-02450,12,0,41,3,4935,95,41,31,4,1,1,228.25,0,0,5.0114529885201026e-05,0,0.011438641446297134
CUST-01978,11,0,39,2,2030,53,50,24,4,1,1,177.075,0,0,6.437138265225667e-05,0,0.011398562583148348
CUST-01359,4,0,33,0,3290,68,14,21,2,1,1,214.11,0,0,5.302108569116926e-05,0,0.011352344657336252
CUST-01007,0,0,7,0,4085,34,208,8,3,1,1,996.76,0,0,1.1363905037282267e-05,0,0.011327085984961472
CUST-01173,0,0,32,0,325,6,0,2,2,1,2,14.895,0,0,0.0007604498509866017,0,0.011326900530445431
CUST-01356,3,0,32,0,1968,46,341,17,2,1,1,1625.13,0,0,6.946661284046037e-06,0,0.011289227652541737
CUST-00237,5,0,32,0,2700,51,165,19,2,1,1,866.295,0,0,1.296686904404997e-05,0,0.011233133818515269
CUST-01388,0,0,30,0,1180,30,20,13,3,1,2,128.4,0,0,8.725821868419736e-05,0,0.011203955279050942
CUST-02071,7,0,42,2,2053,33,17,12,4,1,1,94.65,0,0,0.00011791031309301106,0,0.011160211134253497
CUST-02557,7,0,39,0,1370,21,16,16,2,1,2,134.595,0,0,8.209511590121212e-05,0,0.011049592124723645
CUST-01162,0,0,32,0,1975,31,268,12,3,1,1,1152.24,0,0,9.573564591146861e-06,0,0.01103104406450306
CUST-01909,7,0,40,0,1015,20,20,10,3,1,2,121.4,0,0,9.051262605768809e-05,0,0.010988232803403334
CUST-01653,0,0,36,0,5423,88,0,7,2,1,1,247.995,0,0,4.4183835771645495e-05,0,0.010957370352189225
CUST-01061,2,0,34,0,3833,57,0,31,2,1,1,175.05,0,0,6.210778822890709e-05,0,0.010871968329470186
CUST-02081,10,0,32,2,1953,47,47,74,5,1,1,100.5,0,0,0.00010770478994369891,0,0.01082433138934174
CUST-01396,0,0,13,0,1210,12,10,7,2,1,1,99.99,0,0,0.00010770205814463607,0,0.01076912879388216
CUST-00737,0,0,26,0,635,9,12,1,4,1,2,46.1,0,0,0.0002287916828927085,0,0.010547296581353862
CUST-02178,13,0,43,0,2230,60,60,28,4,1,2,207.25,0,0,5.0874926988735285e-05,0,0.010543828618415388
CUST-01605,6,1,36,0,2123,49,10,18,3,1,2,126.88,0,0,8.22484849761244e-05,0,0.010435687773770663
CUST-01320,0,0,38,0,750,16,4,14,2,1,2,52.47,0,0,0.0001967671121155246,0,0.010324370372701576
CUST-01660,0,0,36,0,215,7,0,3,2,1,2,9.99,0,0,0.0010330238929249862,0,0.010319908690320612
CUST-02239,8,0,12,3,2898,41,23,15,3,1,1,209.56,0,0,4.877053772389459e-05,0,0.01022035388541935
CUST-02535,7,0,19,0,1885,26,7,12,2,1,1,117.495,0,0,8.643346834795274e-05,0,0.010155500363542708
CUST-01558,4,0,35,0,1818,42,0,11,3,1,2,74.4,0,0,0.00013483242116466492,0,0.01003153213465107
CUST-00627,1,0,35,0,1553,19,0,2,3,1,1,62.88,0,0,0.00015821840687933655,0,0.009948773424572682
CUST-02681,3,0,23,0,1130,10,20,4,4,1,2,78.5,0,0,0.00012562405644547773,0,0.009861488430970003
CUST-01724,0,0,28,0,1360,32,23,17,3,1,2,147.68,0,0,6.619161563320177e-05,0,0.009775177796711238
CUST-02113,12,0,35,1,6943,79,105,35,2,1,1,788.49,0,0,1.2288276112901065e-05,0,0.009689182832261362
CUST-00383,27,1,34,3,16255,246,11,85,2,1,1,792.045,0,0,1.221676168501287e-05,0,0.009676225008806017
CUST-02663,24,0,33,8,10740,93,0,43,4,1,1,270.825,0,0,3.5332970914512484e-05,0,0.009569051847922843
CUST-01075,0,0,34,0,345,5,1,4,2,1,2,20.25,0,0,0.00046953742168118646,0,0.009508132789044025
CUST-02130,8,0,25,1,1540,40,190,9,3,2,1,823.2,0,0,1.1547246148832148e-05,0,0.009505693029718624
CUST-01439,5,0,34,1,3075,57,189,36,2,1,1,991.44,0,0,9.525762569068197e-06,0,0.009444222041476973
CUST-00924,0,0,35,0,958,14,0,6,3,1,1,38.88,0,0,0.00024281607663288832,0,0.009440689059486699
CUST-01358,0,0,33,0,1908,44,0,26,1,1,1,107.36,0,0,8.72184263691563e-05,0,0.00936377025499262
CUST-02398,5,0,40,0,2065,35,271,5,3,1,1,1168.0,0,0,7.924147165259177e-06,0,0.009255403889022719
CUST-00006,4,0,38,0,2360,39,285,18,3,1,1,1235.96,0,0,7.464126992378921e-06,0,0.009225362397500651
CUST-02806,0,0,38,0,470,9,0,13,2,1,2,21.555,0,0,0.0004253923151476603,0,0.009169331353007818
CUST-01879,0,0,6,0,3375,23,183,8,3,1,1,867.92,0,0,1.0546085529265762e-05,0,0.00915315855256034
CUST-02480,9,0,29,2,1988,51,69,74,5,1,1,134.085,0,0,6.817122147373713e-05,0,0.009140738231306044
CUST-02661,11,0,34,1,7023,75,107,38,2,1,1,800.91,0,0,1.139140849400803e-05,0,0.009123492976935972
CUST-01693,3,0,31,0,3893,54,0,32,1,1,1,217.085,0,0,4.183845055275289e-05,0,0.009082500038244361
CUST-02788,13,0,12,3,5405,57,230,12,3,1,1,1138.48,0,0,7.93451286661705e-06,0,0.009033284208386179
CUST-00635,6,0,35,0,2665,47,143,19,2,1,1,765.54,0,0,1.1758652655657408e-05,0,0.009001718954011972
CUST-00879,31,1,32,4,16785,249,8,80,2,1,1,802.53,0,0,1.1211291430048096e-05,0,0.008997397711356499
CUST-01344,8,0,28,0,575,27,14,10,2,1,2,90.09,0,0,9.905452836949044e-05,0,0.008923822460807394
CUST-01419,1,0,36,0,1005,18,27,21,2,1,2,167.535,0,0,5.302446049890596e-05,0,0.00888345298968421
CUST-01567,3,0,34,0,6298,63,69,31,2,1,1,596.745,0,0,1.4717426623761702e-05,0,0.008782550750596677
CUST-00037,6,0,36,0,2780,53,175,23,2,1,1,914.985,0,0,9.516406607853903e-06,0,0.008707369300087205
CUST-02243,7,0,44,0,803,19,25,11,3,1,2,132.88,0,0,6.54349232015186e-05,0,0.00869499259501779
CUST-01798,7,0,37,0,6323,100,8,10,2,1,1,325.035,0,0,2.6746357948267694e-05,0,0.00869350245571519
CUST-02095,14,0,36,1,4423,70,7,33,2,1,1,233.685,0,0,3.7091618652325645e-05,0,0.008667754904768718
CUST-01539,0,0,25,0,635,10,46,5,4,1,2,131.125,0,0,6.595868081419776e-05,0,0.008648832021761681
CUST-00371,10,0,40,1,6898,83,119,42,2,1,1,849.645,0,0,1.0145400737251676e-05,0,0.008619989009402201
CUST-02512,13,0,38,1,6908,75,83,35,2,1,1,687.735,0,0,1.2460582681548364e-05,0,0.008569578830494664
CUST-00344,0,0,12,0,1435,16,13,8,2,1,1,123.795,0,0,6.757787079349351e-05,0,0.00836580251488053
CUST-01780,7,0,28,0,920,32,20,12,2,1,1,132.84,0,0,6.275666022104134e-05,0,0.008336594743763132
CUST-02652,12,0,35,0,2543,54,7,18,3,1,2,131.88,0,0,6.3036779459738e-05,0,0.008313290475150248
CUST-00436,1,0,32,0,1485,36,27,15,3,1,2,168.84,0,0,4.9071947303866506e-05,0,0.00828530758278482
CUST-01898,9,0,40,1,2665,45,292,20,3,1,1,1276.4,0,0,6.481407741863406e-06,0,0.00827286884171445
CUST-01767,0,0,39,0,1363,25,1,5,4,1,1,37.2,0,0,0.0002211628531176226,0,0.00822725813597556
CUST-00673,3,0,34,0,3030,23,9,17,3,1,1,158.12,0,0,5.181082414131634e-05,0,0.008192327513224941
CUST-00763,0,0,33,0,710,8,5,7,2,1,2,54.81,0,0,0.0001492689856505028,0,0.008181433103504058
CUST-00604,11,0,37,0,3660,76,0,24,2,1,1,168.12,0,0,4.863618422370119e-05,0,0.008176715291688643
CUST-00602,10,0,37,0,4083,60,0,31,1,1,1,227.865,0,0,3.5491001577016034e-05,0,0.008087157074346759
CUST-02134,14,0,23,1,1450,36,16,11,2,1,1,138.87,0,0,5.821820022613558e-05,0,0.008084761465403448
CUST-01959,10,0,42,2,1075,23,25,12,3,1,1,143.92,0,0,5.616348312703326e-05,0,0.008083048491642625
CUST-00851,17,0,39,2,4485,93,40,28,3,1,1,343.12,0,0,2.3329956980431693e-05,0,0.008004974839125724
CUST-01096,0,0,22,0,1203,30,18,64,4,1,1,75.825,0,0,0.00010495109655969579,0,0.007957916896638934
CUST-00459,11,0,38,3,5115,93,23,40,3,1,1,300.32,0,0,2.6296700848599896e-05,0,0.00789742519885152
CUST-01870,0,0,24,0,300,19,161,9,2,2,1,738.855,0,0,1.0675076949020888e-05,0,0.007887333979168827
CUST-02390,11,0,11,4,5295,56,243,27,3,2,1,1186.04,0,0,6.630187687426722e-06,0,0.007863667804795589
CUST-02013,10,0,37,1,6963,78,110,37,2,1,1,811.845,0,0,9.626058948001576e-06,0,0.00781486782664034
CUST-00615,0,0,36,0,760,8,0,7,2,1,2,34.56,0,0,0.0002260474691836896,0,0.007812200534988313
CUST-02504,9,0,39,1,3285,27,458,6,3,1,1,1964.48,0,0,3.966936307812972e-06,0,0.007792967037972427
CUST-01440,3,0,25,2,1610,40,207,24,2,2,1,1005.75,0,0,7.724996096995166e-06,0,0.007769414824552888
CUST-00106,1,0,36,0,2300,36,280,16,3,1,1,1213.44,0,0,6.369751547354815e-06,0,0.007729311317622228
CUST-00747,0,0,34,0,318,4,0,3,2,1,2,14.49,0,0,0.0005307138852535584,0,0.007690044197324062
CUST-02008,5,0,37,0,1120,17,7,11,2,1,2,82.665,0,0,9.280806441724963e-05,0,0.007671978645051942
CUST-01581,1,0,33,0,2360,41,136,17,2,1,1,720.045,0,0,1.0580501972861136e-05,0,0.007618437543048796
CUST-01930,9,0,29,2,1620,42,200,13,3,2,1,866.48,0,0,8.753103270370297e-06,0,0.0075843889217104546
CUST-02128,7,0,33,0,1890,48,35,18,3,1,2,217.52,0,0,3.4689763502295146e-05,0,0.00754571735701924
CUST-02082,17,0,33,0,1085,33,27,13,3,1,2,152.72,0,0,4.9080355715152515e-05,0,0.007495551924818092
CUST-00658,8,0,38,0,6108,96,16,15,3,1,1,312.16,0,0,2.4004177960167547e-05,0,0.007493144192045902
CUST-01464,0,0,36,0,2190,11,455,5,3,1,1,1908.04,0,0,3.913971918948796e-06,0,0.00746801498023106
CUST-02383,9,0,28,0,1730,26,49,20,4,1,2,166.4,0,0,4.4784674960583766e-05,0,0.0074521699134411385
CUST-01836,3,0,8,1,4795,45,216,8,3,1,1,1057.6,0,0,7.034939496638726e-06,0,0.007440152011645116
CUST-01550,5,0,35,0,3778,54,0,29,1,1,1,210.76,0,0,3.526076307276675e-05,0,0.00743155842521632
CUST-01446,1,0,16,1,1990,30,42,27,2,1,1,279.9,0,0,2.6549080527900648e-05,0,0.007431087639759391
CUST-00646,2,0,8,0,4275,34,183,6,3,1,1,904.36,0,0,8.086548037956501e-06,0,0.007313150583606341
CUST-00441,0,0,23,0,0,0,10,0,4,1,2,25.0,0,0,0.00028818120480218176,0,0.007204530120054544
CUST-00880,12,1,35,4,7675,127,279,33,3,2,1,1428.08,0,0,5.022289426987692e-06,0,0.007172231084892583
CUST-00771,0,0,29,0,2840,16,0,13,3,1,1,114.24,0,0,6.207529773875951e-05,0,0.0070914820136758865
CUST-01778,8,0,30,0,395,25,11,6,3,1,2,60.8,0,0,0.00011570562917215503,0,0.007034902253667025
CUST-02507,5,0,38,0,1065,14,7,9,2,1,2,80.055,0,0,8.6673760298517e-05,0,0.006938667880697779
CUST-02167,11,0,42,2,3405,38,22,22,4,1,1,141.075,0,0,4.913502574640373e-05,0,0.006931723757173906
CUST-00241,0,0,22,0,0,0,11,0,4,1,2,27.5,0,0,0.0002517437554660242,0,0.006922953275315665
CUST-00251,5,0,45,0,578,15,22,10,3,1,2,111.72,0,0,6.172444002815825e-05,0,0.006895854439945839
CUST-02580,11,0,28,1,2063,46,46,73,5,1,1,100.635,0,0,6.705976747683882e-05,0,0.0067485597000316744
CUST-02815,0,0,35,0,2435,17,0,16,3,1,1,98.08,0,0,6.874995957552807e-05,0,0.006742996035167793
CUST-02171,11,0,44,2,2233,41,22,14,4,1,1,111.85,0,0,6.0268027897719155e-05,0,0.006740978920359887
CUST-00321,3,0,31,0,6458,65,93,31,2,1,1,712.035,0,0,9.429632360651399e-06,0,0.006714228277916418
CUST-02263,15,0,42,2,7203,89,126,44,2,1,1,895.14,0,0,7.43676436968847e-06,0,0.006656945257882937
CUST-00289,9,0,32,1,1828,49,45,74,5,1,1,95.655,0,0,6.938333246983288e-05,0,0.006636862667401864
CUST-00893,14,0,17,4,3562,56,39,19,3,2,1,300.72,0,0,2.1993781239211538e-05,0,0.006613969894255695
CUST-00391,2,0,29,0,1005,18,32,8,4,1,2,105.575,0,0,6.263122662325628e-05,0,0.006612291750750282
CUST-00341,0,0,20,0,0,0,6,0,4,1,2,15.0,0,0,0.00043904882978897537,0,0.0065857324468346305
CUST-02275,32,1,36,4,16560,252,18,87,2,2,1,837.54,0,0,7.847032800981293e-06,0,0.006572203852133872
CUST-02230,5,0,23,1,1360,32,185,7,2,2,1,895.14,0,0,7.281113905090683e-06,0,0.006517616301002874
CUST-02628,9,0,38,1,2895,58,173,22,2,1,1,911.385,0,0,7.145283085987751e-06,0,0.006512103825322946
CUST-01848,0,0,35,0,1223,37,0,15,3,1,2,50.4,0,0,0.00012859743909894147,0,0.00648131093058665
CUST-01180,0,0,28,0,2455,14,0,8,3,1,1,98.76,0,0,6.53345729917397e-05,0,0.006452442428664214
CUST-00537,0,0,27,0,715,26,172,1,2,2,1,807.345,0,0,7.968614593445903e-06,0,0.006433421148945582
CUST-02136,6,0,16,1,1920,30,25,12,2,1,1,200.25,0,0,3.2101378966283176e-05,0,0.006428301137998206
CUST-00972,1,0,36,0,5613,89,0,10,2,1,1,256.59,0,0,2.491749379179357e-05,0,0.006393579732036311
CUST-00665,4,0,38,0,900,15,22,11,3,1,2,124.6,0,0,5.1268653005105546e-05,0,0.006388074164436151
CUST-02040,5,0,9,1,4635,43,217,10,3,1,1,1055.12,0,0,6.044431881251993e-06,0,0.006377600966546602
CUST-02248,11,0,43,1,2845,53,303,25,3,1,1,1327.92,0,0,4.784761357092087e-06,0,0.006353780301309724
CUST-01551,0,0,35,0,1973,46,0,27,1,1,1,111.045,0,0,5.706162668485925e-05,0,0.006336408335220195
CUST-00638,11,0,26,0,585,19,0,3,2,1,2,27.18,0,0,0.0002312586002515297,0,0.006285608754836577
CUST-01184,0,0,30,0,1283,17,0,5,3,1,1,52.0,0,0,0.0001203911478995786,0,0.006260339690778088
CUST-02645,6,0,35,0,2698,58,1,34,1,1,1,157.08,0,0,3.9824084404100405e-05,0,0.0062555671781960925
CUST-01599,8,0,36,0,3660,77,34,29,2,1,1,321.165,0,0,1.943913597553285e-05,0,0.0062431701055820086
CUST-00190,12,0,31,0,780,27,20,11,3,1,2,112.28,0,0,5.5435215349491075e-05,0,0.006224265979440858
CUST-00982,3,0,35,0,6413,69,101,35,2,1,1,746.19,0,0,8.33181258590917e-06,0,0.006217115233479563
CUST-00624,1,0,33,0,2725,16,0,10,3,1,1,109.64,0,0,5.638209890075068e-05,0,0.006181733323478304
CUST-00283,30,1,37,4,16335,248,15,86,2,1,1,813.735,0,0,7.580578721661145e-06,0,0.006168582226070932
CUST-00225,0,0,30,0,2760,20,0,10,3,1,1,111.2,0,0,5.5408181863842205e-05,0,0.006161389823259253
CUST-00790,0,0,13,0,1695,20,20,13,2,1,1,167.175,0,0,3.669967493430605e-05,0,0.006135268157142614
CUST-01360,0,0,33,0,1875,25,267,11,3,1,1,1144.0,0,0,5.3524771564114926e-06,0,0.006123233866934748
CUST-00894,8,0,10,2,5100,51,223,10,3,1,1,1098.04,0,0,5.570406802080797e-06,0,0.006116529484956798
CUST-00110,3,0,36,0,5858,92,2,10,2,1,1,276.75,0,0,2.2031525847566536e-05,0,0.006097224778314039
CUST-00121,5,0,35,0,6658,72,103,35,2,1,1,766.35,0,0,7.943579959144408e-06,0,0.006087562501690317
CUST-00337,1,0,30,0,2520,43,160,17,2,1,1,835.335,0,0,7.251713142460244e-06,0,0.006057609797857028
CUST-00911,0,0,36,0,165,3,0,11,2,1,2,7.56,0,0,0.000798614973921401,0,0.006037529202845791
CUST-00883,12,0,37,1,3490,64,183,23,2,1,1,983.43,0,0,6.108375213812701e-06,0,0.0060071594365198235
CUST-02343,9,0,41,0,1223,21,35,21,3,1,2,189.76,0,0,3.157873428181816e-05,0,0.0059923806173178135
CUST-00884,10,0,28,2,2025,47,201,11,3,2,1,886.88,0,0,6.706215528724539e-06,0,0.0059476084281152196
CUST-02552,16,0,40,0,2733,61,24,22,3,1,2,207.76,0,0,2.8365793936611645e-05,0,0.005893277348270435
CUST-01552,6,0,35,0,3355,70,0,22,2,1,1,154.125,0,0,3.798973983129705e-05,0,0.005855168651498657
CUST-01399,1,0,11,2,2368,31,13,12,3,1,1,147.96,0,0,3.9461754880915014e-05,0,0.005838761252180186
CUST-00288,9,0,33,2,1575,46,208,17,3,2,1,896.84,0,0,6.4996711260779e-06,0,0.005829165052711705
CUST-00036,3,0,35,0,1665,44,38,20,3,1,2,220.36,0,0,2.6403935755398825e-05,0,0.005818371283059685
CUST-01682,0,0,24,0,0,0,5,0,4,1,2,12.5,0,0,0.0004634432240511329,0,0.005793040300639161
CUST-00725,0,0,36,0,1478,24,0,3,3,1,1,60.08,0,0,9.636993917864097e-05,0,0.005789905945852749
CUST-02632,3,0,28,0,940,15,19,2,4,1,2,71.375,0,0,8.040121961707475e-05,0,0.00573863705016871
CUST-01659,0,0,35,0,380,7,0,6,2,1,2,17.415,0,0,0.00032842383730283156,0,0.005719501126628812
CUST-01832,3,0,17,0,2100,31,29,12,2,1,1,226.395,0,0,2.5129145667698115e-05,0,0.0056891129334385145
CUST-00943,0,0,8,0,3680,29,190,10,3,1,1,908.36,0,0,6.1972453831025246e-06,0,0.005629329816195009
CUST-01885,0,0,25,0,1010,30,186,9,2,2,1,883.8,0,0,6.297358874644599e-06,0,0.005565605773410896
CUST-00687,6,0,26,0,1758,40,39,71,4,1,1,142.45,0,0,3.892242235498258e-05,0,0.005544499064467269
CUST-00392,12,0,28,0,1405,40,30,18,2,1,1,200.025,0,0,2.736165068309748e-05,0,0.0054730141778865735
CUST-02539,7,0,10,1,4580,40,190,8,3,1,1,944.8,0,0,5.792270543594311e-06,0,0.005472537209587905
